"io_in_bits_key","io_in_bits_text"
"3432573208126946806","960600283473920577"
"5134407143235785189","14961658293427848002"
"15327465584248487773","17101495015505127324"
"12743664125683106415","6344143443603014939"
"14941654084614029361","15638440769447567224"
"7708744930632587932","4233091352911860816"
"4055711975662300374","12449913384075233235"
"8713055181947807293","7186018955166435326"
"15286939177511804223","5220477766076027581"
"8660197415829124902","10570622248913730365"
"13623411571416706946","17909795483296604303"
"13758732372114739191","935687113252523636"
"16160511089006316536","282198951188359185"
"6458458944294416442","9695780936297175150"
"3306577805249965000","7778446294753406516"
"9035783304652839800","16733076656791688202"
"7852327790900636869","5000392019165302500"
"15587617616462310936","6560307214588077161"
"12222619475402438434","1697225391197356113"
"12370971644674482775","12159988425866445172"
"9894861344190268779","2816998971146721717"
"8221466920082162012","1912156606515592051"
