"io_in_bits_key","io_in_bits_text"
"13393859435748028116","4406278123044776656"
"562724919977633994","2891512094610648091"
"11835578784696456294","3147117893682135753"
"11583494648590956889","7627811790526217708"
"4375598250111908734","11818724752265291951"
"172181944975274656","872047992466105545"
"2716314035064387681","11715140812352146493"
"8869127963291845232","1376686619042912936"
"5719244541574153748","13593109534130160914"
"14032730054282328722","12581335277068844680"
"15581917357477741089","13539199089294150680"
"5763992958285956781","697657969253592490"
"12083291753235390962","12425676530803022604"
"9596615772611368026","6436443548576459211"
"6921331542348891033","14027333461992740888"
"5758215546250608565","15794456794689876304"
"13466153898783793450","6726460546068705563"
"7377233923912392502","9396128289365217577"
"8588984910910782882","513596611434712203"
"5812439608926420634","13812379453973351915"
"16095744261230768969","13692049589188198784"
"17675085935336105873","13999163035488431738"
