"step","io_out_bits_score","io_out_bits_x","io_out_bits_y"
"2","0","0","0"
"4","1","1","0"
"6","0","2","0"
"8","0","3","0"
"10","0","4","0"
"12","0","5","0"
"14","1","6","0"
"16","1","7","0"
"18","0","8","0"
"20","0","9","0"
"22","0","10","0"
"24","0","11","0"
"26","0","12","0"
"28","1","13","0"
"30","0","14","0"
"32","0","15","0"
"34","0","16","0"
"36","1","17","0"
"38","0","18","0"
"40","0","19","0"
"42","0","20","0"
"45","0","0","1"
"47","1","1","1"
"49","0","2","1"
"51","0","3","1"
"53","0","4","1"
"55","0","5","1"
"57","1","6","1"
"59","2","7","1"
"61","0","8","1"
"63","0","9","1"
"65","0","10","1"
"67","0","11","1"
"69","0","12","1"
"71","1","13","1"
"73","0","14","1"
"75","0","15","1"
"77","0","16","1"
"79","1","17","1"
"81","0","18","1"
"83","0","19","1"
"85","0","20","1"
"88","1","0","2"
"90","0","1","2"
"92","2","2","2"
"94","1","3","2"
"96","0","4","2"
"98","0","5","2"
"100","0","6","2"
"102","0","7","2"
"104","3","8","2"
"106","1","9","2"
"108","0","10","2"
"110","0","11","2"
"112","0","12","2"
"114","0","13","2"
"116","0","14","2"
"118","1","15","2"
"120","0","16","2"
"122","0","17","2"
"124","0","18","2"
"126","1","19","2"
"128","0","20","2"
"131","1","0","3"
"133","0","1","3"
"135","1","2","3"
"137","3","3","3"
"139","1","4","3"
"141","0","5","3"
"143","0","6","3"
"145","0","7","3"
"147","1","8","3"
"149","4","9","3"
"151","2","10","3"
"153","0","11","3"
"155","0","12","3"
"157","0","13","3"
"159","0","14","3"
"161","1","15","3"
"163","0","16","3"
"165","0","17","3"
"167","0","18","3"
"169","1","19","3"
"171","0","20","3"
"174","0","0","4"
"176","2","1","4"
"178","0","2","4"
"180","1","3","4"
"182","2","4","4"
"184","0","5","4"
"186","1","6","4"
"188","1","7","4"
"190","0","8","4"
"192","2","9","4"
"194","3","10","4"
"196","1","11","4"
"198","0","12","4"
"200","1","13","4"
"202","0","14","4"
"204","0","15","4"
"206","0","16","4"
"208","1","17","4"
"210","0","18","4"
"212","0","19","4"
"214","0","20","4"
"217","0","0","5"
"219","0","1","5"
"221","1","2","5"
"223","0","3","5"
"225","2","4","5"
"227","1","5","5"
"229","0","6","5"
"231","0","7","5"
"233","0","8","5"
"235","0","9","5"
"237","3","10","5"
"239","4","11","5"
"241","2","12","5"
"243","0","13","5"
"245","0","14","5"
"247","0","15","5"
"249","1","16","5"
"251","0","17","5"
"253","0","18","5"
"255","0","19","5"
"257","1","20","5"
"260","0","0","6"
"262","0","1","6"
"264","0","2","6"
"266","0","3","6"
"268","0","4","6"
"270","3","5","6"
"272","1","6","6"
"274","0","7","6"
"276","0","8","6"
"278","0","9","6"
"280","1","10","6"
"282","2","11","6"
"284","3","12","6"
"286","1","13","6"
"288","1","14","6"
"290","0","15","6"
"292","0","16","6"
"294","0","17","6"
"296","1","18","6"
"298","0","19","6"
"300","0","20","6"
"303","1","0","7"
"305","0","1","7"
"307","1","2","7"
"309","1","3","7"
"311","0","4","7"
"313","1","5","7"
"315","2","6","7"
"317","0","7","7"
"319","1","8","7"
"321","1","9","7"
"323","0","10","7"
"325","0","11","7"
"327","1","12","7"
"329","2","13","7"
"331","0","14","7"
"333","2","15","7"
"335","0","16","7"
"337","0","17","7"
"339","0","18","7"
"341","2","19","7"
"343","0","20","7"
"346","0","0","8"
"348","0","1","8"
"350","0","2","8"
"352","0","3","8"
"354","2","4","8"
"356","0","5","8"
"358","0","6","8"
"360","1","7","8"
"362","0","8","8"
"364","0","9","8"
"366","2","10","8"
